"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"McGonigle, Kevin","805808","Tigers","","3B","-1",-1,-4,1,1,1,3,-4,"74%","75%","-1%"
"McKinstry, Zach","656716","Tigers","","2B","5",6,2,1,2,0,5,1,"81%","77%","4%"
"McLain, Matt","680574","Reds","","2B","2",2,-1,0,4,0,3,-1,"76%","75%","1%"
"McMahon, Ryan","641857","Yankees","","3B","2",3,2,2,0,0,2,2,"71%","69%","2%"
"McNeil, Jeff","643446","Athletics","","2B","-3",-4,0,-4,0,-1,-1,-3,"76%","77%","-1%"
"Mead, Curtis","678554","Nationals","","3B","-5",-6,-1,-5,0,0,0,-7,"63%","67%","-4%"
"Meidroth, Chase","805367","White Sox","","2B","1",1,1,-2,2,1,1,1,"73%","73%","0%"
"Merrill, Jackson","701538","Padres","","CF","0",0,0,2,1,-2,-1,2,"92%","91%","1%"
"Meyers, Jake","676694","Astros","","CF","2",2,0,2,0,0,1,1,"93%","91%","2%"
"Mitchell, Garrett","669003","Brewers","","CF","3",3,0,0,2,1,1,2,"92%","90%","2%"
"Monasterio, Andruw","655316","Red Sox","","2B","-6",-8,-2,-1,-4,-1,-4,-4,"69%","78%","-9%"
"Moncada, Yoán","660162","Angels","","3B","-4",-6,0,-3,-2,0,-5,-1,"64%","70%","-6%"
"Moniak, Mickey","666160","Rockies","","LF","-1",-1,-2,1,0,0,0,-1,"89%","90%","-1%"
"Montgomery, Colson","695657","White Sox","","SS","5",6,2,3,0,0,4,2,"76%","74%","2%"
"Mullins, Cedric","656775","Rays","","CF","4",4,2,2,1,-1,1,3,"92%","90%","2%"
"Muncy, Max","571970","Dodgers","","3B","5",6,4,-1,2,1,5,1,"74%","71%","3%"
"Muncy, Max","691777","Athletics","","3B","-6",-7,-3,-1,-4,0,-7,0,"55%","62%","-7%"
"Murakami, Munetaka","808959","White Sox","","1B","0",0,0,0,1,0,-1,0,"70%","70%","0%"
"Myers, Dane","667472","Reds","","CF","1",1,0,1,-1,1,1,0,"89%","87%","2%"
"Naylor, Josh","647304","Mariners","","1B","-1",-2,1,-2,1,-2,-3,2,"71%","71%","0%"
"Neto, Zach","687263","Angels","","SS","-6",-8,-3,1,-5,-1,-4,-4,"74%","77%","-3%"
"Nimmo, Brandon","607043","Rangers","","RF","-1",-1,0,-1,1,-1,-2,0,"89%","90%","-1%"
"Norby, Connor","681393","Marlins","","1B","3",4,1,0,3,0,0,4,"76%","72%","4%"
"Nuñez, Nasim","683083","Nationals","","2B","2",3,4,-5,1,3,5,-2,"79%","79%","0%"
"O'Hearn, Ryan","656811","Pirates","","RF","-3",-3,-3,0,0,1,-1,-2,"78%","80%","-2%"
"Okamoto, Kazuma","672960","Blue Jays","","3B","0",0,5,-2,-2,-1,0,0,"72%","72%","0%"
"Olson, Matt","621566","Braves","","1B","4",6,-1,3,2,1,3,3,"81%","78%","3%"
"Ortiz, Joey","687401","Brewers","","SS","5",7,1,4,1,1,4,3,"77%","74%","3%"
"Osuna, Alejandro","696030","Rangers","","LF","-3",-4,-2,0,-2,1,-3,0,"84%","87%","-3%"
"Outman, James","681546","---","","CF","1",1,-1,0,0,1,0,1,"93%","92%","1%"
"Pages, Andy","681624","Dodgers","","CF","6",6,-2,2,7,0,4,3,"91%","89%","2%"
"Palacios, Richie","680700","Rays","","2B","-4",-5,-3,-1,0,-1,0,-5,"74%","77%","-3%"
"Paredes, Isaac","670623","Astros","","3B","-1",-2,-3,1,0,1,-3,2,"68%","69%","-1%"
"Pasquantino, Vinnie","686469","Royals","","1B","-1",-1,-2,1,0,0,1,-2,"77%","78%","-1%"
"Peraza, Oswald","672724","Angels","","2B","1",1,0,1,1,-1,1,1,"74%","74%","0%"
"Perdomo, Geraldo","672695","D-backs","","SS","6",7,8,2,-3,0,5,3,"81%","79%","2%"
"Peters, Tristan","671976","White Sox","","CF","8",9,1,3,4,1,5,4,"94%","90%","4%"
"Peña, Jeremy","665161","Astros","","SS","0",0,-2,3,-1,0,1,-1,"72%","72%","0%"
"Pérez, Wenceel","672761","Tigers","","RF","-3",-3,0,-2,-2,0,-2,-1,"89%","92%","-3%"
"Rafaela, Ceddanne","678882","Red Sox","","CF","10",11,2,5,4,-1,7,4,"94%","89%","5%"
"Raley, Luke","670042","Mariners","","RF","-5",-6,-1,-5,0,0,-4,-2,"79%","84%","-5%"
"Ramos, Heliot","671218","Giants","","LF","-2",-2,0,-1,-1,0,0,-2,"85%","87%","-2%"
"Ramírez, José","608070","Guardians","","3B","4",6,1,1,4,0,6,-1,"77%","74%","3%"
"Rengifo, Luis","650859","Brewers","","3B","-1",-2,-2,1,-1,1,-3,1,"76%","77%","-1%"
"Reynolds, Bryan","668804","Pirates","","LF","-3",-3,0,-3,-1,0,-2,-2,"84%","86%","-2%"
"Rice, Ben","700250","Yankees","","1B","-4",-6,-1,-3,-3,1,-1,-5,"62%","67%","-5%"
"Riley, Austin","663586","Braves","","3B","-4",-5,-5,0,-1,1,-4,-1,"71%","73%","-2%"
"Rivas, Leo","660844","Mariners","","3B","0",0,2,1,-1,-1,2,-2,"72%","72%","0%"
"Rocchio, Brayan","677587","Guardians","","SS","6",7,4,2,-1,2,5,2,"72%","70%","2%"
"Rodríguez, Julio","677594","Mariners","","CF","-1",-1,-1,1,0,0,-1,0,"90%","91%","-1%"
"Rojas, Miguel","500743","Dodgers","","2B","3",4,-1,3,0,0,0,3,"73%","70%","3%"
"Rosario, Amed","642708","Yankees","","3B","-5",-7,-3,-2,-2,0,-4,-3,"64%","71%","-7%"
"Rumfield, TJ","681198","Rockies","","1B","1",2,1,1,0,1,1,1,"72%","71%","1%"
"Sanoja, Javier","691594","Marlins","","3B","0",0,3,0,-3,0,1,-2,"77%","77%","0%"
"Schanuel, Nolan","694384","Angels","","1B","2",3,0,0,2,0,-1,3,"73%","71%","2%"
"Schmitt, Casey","669477","Giants","","1B","0",0,0,1,-1,0,1,0,"80%","80%","0%"
"Schneemann, Daniel","682177","Guardians","","3B","6",8,2,2,3,1,6,1,"83%","79%","4%"
"Scott II, Victor","687363","Cardinals","","CF","3",3,0,3,0,0,3,1,"90%","88%","2%"
"Seager, Corey","608369","Rangers","","SS","1",1,-1,2,1,-1,1,0,"76%","75%","1%"
"Semien, Marcus","543760","Mets","","2B","-4",-5,-1,0,-3,-1,-2,-3,"79%","80%","-1%"
"Shaw, Matt","807713","Cubs","","RF","1",1,0,-1,1,0,0,0,"89%","88%","1%"
"Sheets, Gavin","657757","Padres","","1B","-2",-3,1,-1,-3,-1,-1,-1,"72%","74%","-2%"
"Simpson, Chandler","802415","Rays","","LF","6",7,2,2,3,1,4,3,"89%","85%","4%"
"Smith, Cam","701358","Astros","","RF","5",5,3,0,1,1,3,2,"90%","87%","3%"
"Smith, Josh","669701","Rangers","","2B","-2",-2,0,-1,1,-2,-2,0,"71%","73%","-2%"
"Soderstrom, Tyler","691016","Athletics","","LF","-4",-5,0,-1,-1,-3,-4,0,"84%","87%","-3%"
"Sosa, Edmundo","624641","Phillies","","2B","1",1,0,1,1,-1,0,1,"74%","74%","0%"
"Soto, Juan","665742","Mets","","LF","1",1,-1,0,0,1,0,0,"88%","87%","1%"
"Steer, Spencer","668715","Reds","","1B","-2",-3,0,-1,-1,0,-2,0,"76%","77%","-1%"
"Stewart, Sal","701398","Reds","","1B","1",1,3,-3,1,0,1,0,"72%","71%","1%"
"Story, Trevor","596115","Red Sox","","SS","-2",-3,-1,0,-1,-1,-2,-1,"75%","78%","-3%"
"Stott, Bryson","681082","Phillies","","2B","2",3,3,0,1,-1,0,2,"70%","69%","1%"
"Stowers, Kyle","669065","Marlins","","LF","1",1,0,1,0,0,0,0,"88%","87%","1%"
"Straw, Myles","664702","Blue Jays","","CF","2",3,1,1,0,0,1,2,"91%","88%","3%"
"Suzuki, Seiya","673548","Cubs","","RF","2",2,4,1,-1,-1,3,0,"88%","86%","2%"
"Swanson, Dansby","621020","Cubs","","SS","7",9,6,4,-1,0,4,5,"76%","73%","3%"
"Sánchez, Jesús","660821","Blue Jays","","RF","-6",-6,-1,-4,-2,0,-4,-2,"84%","89%","-5%"
"Tatis Jr., Fernando","665487","Padres","","2B","3",4,1,0,2,0,3,1,"81%","79%","2%"
"Taveras, Leody","665750","Orioles","","CF","-4",-4,0,-1,-1,-1,-1,-3,"83%","86%","-3%"
"Thomas, Alek","677950","D-backs","","CF","2",2,-1,2,1,0,0,2,"93%","91%","2%"
"Thomas, Lane","657041","Royals","","CF","-3",-3,-3,0,-1,0,-3,-1,"89%","91%","-2%"
"Torkelson, Spencer","679529","Tigers","","1B","-4",-6,-1,-5,-1,1,-1,-5,"70%","73%","-3%"
"Torres, Gleyber","650402","Tigers","","2B","0",0,1,0,0,0,-1,1,"80%","80%","0%"
"Tovar, Ezequiel","678662","Rockies","","SS","2",2,5,0,-1,-2,4,-2,"71%","71%","0%"
"Triolo, Jared","669707","Pirates","","SS","-1",-1,3,-3,-2,1,1,-2,"75%","76%","-1%"
"Trout, Mike","545361","Angels","","CF","-2",-2,-2,0,0,-1,-1,-2,"89%","90%","-1%"
"Tucker, Kyle","663656","Dodgers","","RF","-5",-5,-1,-2,-1,-1,-2,-3,"88%","91%","-3%"
"Turang, Brice","668930","Brewers","","2B","5",6,0,-1,6,1,3,3,"78%","76%","2%"
"Turner, Trea","607208","Phillies","","SS","-5",-6,-4,2,-3,-1,-2,-5,"68%","70%","-2%"
"Vargas, Ildemaro","545121","D-backs","","1B","1",2,1,-1,1,0,1,0,"74%","74%","0%"
"Vargas, Miguel","678246","White Sox","","3B","1",1,0,0,3,-1,-2,3,"72%","72%","0%"
"Varsho, Daulton","662139","Blue Jays","","CF","3",3,-1,1,2,1,0,3,"90%","88%","2%"
"Vientos, Mark","668901","Mets","","1B","-6",-7,-4,-3,0,0,0,-8,"69%","74%","-5%"
"Vierling, Matt","663837","Tigers","","CF","1",1,0,-1,3,-1,0,1,"91%","90%","1%"
"Vilade, Ryan","668723","Rays","","RF","-3",-4,0,-3,-2,0,-2,-2,"81%","85%","-4%"
"Vivas, Jorbit","678391","Nationals","","3B","0",0,1,1,-1,0,2,-2,"69%","69%","0%"
"Volpe, Anthony","683011","Yankees","","SS","4",5,2,2,1,0,6,-1,"81%","77%","4%"
"Waldschmidt, Ryan","814439","D-backs","","CF","0",0,-4,2,1,1,-1,1,"91%","91%","0%"
"Walker, Christian","572233","Astros","","1B","0",0,1,1,0,-2,-1,1,"74%","75%","-1%"
"Walker, Jordan","691023","Cardinals","","RF","-4",-4,0,-2,-2,1,-3,-1,"87%","89%","-2%"
"Wallner, Matt","670242","Twins","","RF","-3",-3,0,-2,0,-1,-2,-1,"79%","83%","-4%"
"Walls, Taylor","670764","Rays","","SS","-3",-4,-4,0,0,0,-1,-3,"78%","80%","-2%"
"Ward, Taylor","621493","Orioles","","LF","-1",-1,1,1,-1,-2,-1,1,"87%","88%","-1%"
"Wetherholt, JJ","802139","Cardinals","","2B","12",16,5,7,2,2,9,7,"79%","74%","5%"
"Williamson, Ben","810938","Rays","","2B","-2",-2,-2,1,-3,1,-2,0,"80%","82%","-2%"
"Wilson, Jacob","805779","Athletics","","SS","5",6,3,3,0,0,6,0,"72%","68%","4%"
"Winn, Masyn","691026","Cardinals","","SS","6",8,5,1,-1,2,2,5,"72%","70%","2%"
"Witt Jr., Bobby","677951","Royals","","SS","13",17,8,8,1,0,10,7,"78%","71%","7%"
