"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Chisholm Jr., Jazz","665862","Yankees","","2B","7",9,0,3,5,0,3,5,"78%","75%","3%"
"Chourio, Jackson","694192","Brewers","","LF","2",2,0,0,2,0,1,1,"92%","91%","1%"
"Church, Nathan","701675","Cardinals","","CF","2",3,-1,1,3,0,4,-1,"90%","89%","1%"
"Clemens, Kody","665019","Twins","","1B","2",2,0,0,0,3,2,1,"83%","82%","1%"
"Clement, Ernie","676391","Blue Jays","","2B","-4",-5,0,1,-5,-1,0,-5,"73%","75%","-2%"
"Collins, Isaac","686555","Royals","","LF","-2",-3,-1,-2,0,0,-2,-1,"84%","85%","-1%"
"Contreras, Willson","575929","Red Sox","","1B","-1",-1,-2,-3,3,0,-1,-1,"72%","73%","-1%"
"Cowser, Colton","681297","Orioles","","CF","7",7,2,2,3,1,4,3,"94%","90%","4%"
"Crawford, J.P.","641487","Mariners","","SS","-6",-8,-1,-5,-2,0,-5,-3,"74%","77%","-3%"
"Crawford, Justin","702222","Phillies","","CF","-1",-1,-2,0,0,0,-3,1,"89%","90%","-1%"
"Crews, Dylan","686611","Nationals","","RF","2",2,0,-1,3,1,0,2,"90%","88%","2%"
"Cronenworth, Jake","630105","Padres","","2B","-3",-3,1,-3,0,-2,1,-4,"74%","75%","-1%"
"Crow-Armstrong, Pete","691718","Cubs","","CF","18",20,1,10,8,1,15,5,"96%","90%","6%"
"Cruz, Oneil","665833","Pirates","","CF","-2",-3,-2,0,0,-1,-4,1,"88%","90%","-2%"
"De La Cruz, Elly","682829","Reds","","SS","4",6,4,6,-4,-1,8,-2,"74%","73%","1%"
"DeLuca, Jonny","676356","Rays","","RF","3",4,1,-1,3,1,1,3,"90%","87%","3%"
"Devers, Rafael","646240","Giants","","1B","0",0,2,-3,2,-1,-1,0,"71%","71%","0%"
"Dubón, Mauricio","643289","Braves","","LF","4",5,1,1,2,1,3,2,"84%","82%","2%"
"Duran, Ezequiel","677649","Rangers","","SS","9",12,2,6,3,1,8,4,"81%","77%","4%"
"Duran, Jarren","680776","Red Sox","","LF","6",7,1,2,3,1,5,2,"92%","89%","3%"
"Durbin, Caleb","702332","Red Sox","","3B","1",1,1,-2,2,1,1,0,"73%","72%","1%"
"Edwards, Xavier","669364","Marlins","","2B","1",2,1,1,1,-1,0,2,"74%","74%","0%"
"Emerson, Colt","806068","Mariners","","SS","-1",-2,-2,2,-3,1,-5,3,"73%","74%","-1%"
"Ewing, A.J.","805999","Mets","","CF","3",3,-3,2,3,1,1,2,"94%","91%","3%"
"Fermín, José","665877","Cardinals","","3B","-1",-1,-1,0,-1,1,0,-1,"76%","76%","0%"
"France, Ty","664034","Padres","","1B","5",7,4,1,1,0,2,5,"81%","77%","4%"
"Freeland, Alex","690976","Dodgers","","2B","2",3,1,1,1,0,4,-1,"82%","81%","1%"
"Freeman, Freddie","518692","Dodgers","","1B","3",4,3,-3,3,0,3,1,"72%","71%","1%"
"Freeman, Tyler","671289","Rockies","","RF","-7",-8,-1,-3,-3,-1,-5,-3,"81%","86%","-5%"
"Frelick, Sal","686217","Brewers","","RF","0",1,0,0,0,0,0,0,"85%","85%","0%"
"Friedl, TJ","670770","Reds","","CF","3",3,0,1,3,-1,3,0,"95%","93%","2%"
"Garcia, Maikel","672580","Royals","","3B","4",6,5,1,0,-1,3,3,"73%","71%","2%"
"García Jr., Luis","671277","Nationals","","1B","-1",-1,-2,2,-1,0,-2,1,"69%","70%","-1%"
"García, Adolis","666969","Phillies","","RF","3",4,1,1,1,0,3,1,"92%","89%","3%"
"Gelof, Zack","680869","Athletics","","3B","0",0,0,-1,2,-1,-1,1,"76%","76%","0%"
"Gilbert, Drew","687551","Giants","","CF","0",0,1,0,0,0,1,-1,"88%","87%","1%"
"Giménez, Andrés","665926","Blue Jays","","SS","8",11,4,3,4,1,7,4,"74%","70%","4%"
"Goldschmidt, Paul","502671","Yankees","","1B","3",4,0,3,1,0,0,4,"79%","75%","4%"
"Gonzales, Nick","693304","Pirates","","3B","-2",-3,-3,-1,3,-3,-3,0,"68%","69%","-1%"
"Gorman, Nolan","669357","Cardinals","","3B","1",1,-1,1,1,0,1,1,"65%","64%","1%"
"Gray, Tristan","656484","Twins","","SS","-3",-4,-1,0,-5,1,-2,-2,"72%","75%","-3%"
"Greene, Riley","682985","Tigers","","LF","1",2,0,3,-1,1,0,1,"91%","90%","1%"
"Griffin, Konnor","804606","Pirates","","SS","-5",-6,-3,-2,-3,2,-5,-2,"81%","84%","-3%"
"Grisham, Trent","663757","Yankees","","CF","-2",-2,-2,1,1,-2,-2,0,"90%","91%","-1%"
"Grissom, Vaughn","687093","Angels","","2B","-1",-1,3,-4,0,0,1,-2,"70%","71%","-1%"
"Guerrero Jr., Vladimir","665489","Blue Jays","","1B","2",3,-2,-1,5,0,0,3,"76%","75%","1%"
"Hamilton, David","666152","Brewers","","3B","-4",-5,-3,-3,2,-1,-3,-3,"76%","78%","-2%"
"Happ, Ian","664023","Cubs","","LF","0",0,-1,0,0,1,2,-1,"84%","84%","0%"
"Harper, Bryce","547180","Phillies","","1B","-3",-5,2,-5,-1,-1,-2,-2,"67%","69%","-2%"
"Harris II, Michael","671739","Braves","","CF","8",9,1,2,5,1,4,5,"96%","92%","4%"
"Hayes, Ke'Bryan","663647","Reds","","3B","0",0,-1,0,0,1,3,-3,"77%","77%","0%"
"Henderson, Gunnar","683002","Orioles","","SS","1",1,-7,4,3,0,4,-3,"76%","76%","0%"
"Hernaiz, Darell","687231","Athletics","","SS","2",2,2,-1,2,0,1,1,"77%","75%","2%"
"Hernández, Heriberto","681715","Marlins","","LF","1",1,1,1,-1,-1,0,1,"88%","87%","1%"
"Hernández, Teoscar","606192","Dodgers","","LF","-1",-1,-1,-2,1,1,-1,0,"89%","90%","-1%"
"Hoerner, Nico","663538","Cubs","","2B","5",7,1,1,4,1,2,5,"76%","74%","2%"
"Holliday, Jackson","702616","Orioles","","2B","-1",-2,-2,-2,1,0,-1,0,"77%","78%","-1%"
"Horwitz, Spencer","687462","Pirates","","1B","-2",-3,3,-7,1,1,-1,-2,"72%","74%","-2%"
"House, Brady","691781","Nationals","","3B","-4",-5,-4,-1,-1,0,-3,-2,"61%","65%","-4%"
"Isbel, Kyle","664728","Royals","","CF","3",4,0,3,-1,1,2,1,"91%","89%","2%"
"Jackson, Jeremiah","669236","Orioles","","2B","-2",-2,-2,-2,1,1,-1,-2,"79%","80%","-1%"
"Johnston, Troy","687859","Rockies","","RF","-1",-1,-1,4,-2,-3,0,-1,"81%","81%","0%"
"Jordan, Blaze","691458","Cardinals","","3B","2",2,1,-1,3,0,1,2,"71%","69%","2%"
"Judge, Aaron","592450","Yankees","","RF","-2",-2,-2,0,0,-1,-1,0,"90%","91%","-1%"
"Julien, Edouard","666397","Rockies","","2B","-3",-4,3,-5,0,-1,-2,-2,"67%","69%","-2%"
"Jung, Josh","673962","Rangers","","3B","-2",-3,-1,0,0,-2,-1,-2,"68%","69%","-1%"
"Karros, Kyle","691720","Rockies","","3B","1",1,0,-1,1,1,3,-2,"67%","67%","0%"
"Keaschall, Luke","807712","Twins","","2B","-6",-7,0,-3,-4,-1,-4,-3,"72%","74%","-2%"
"Keith, Colt","690993","Tigers","","3B","2",3,2,1,-1,0,2,1,"72%","71%","1%"
"Kim, Hyeseong","808975","Dodgers","","SS","0",-1,-1,-2,2,0,-2,1,"79%","80%","-1%"
"Kiner-Falefa, Isiah","643396","Red Sox","","2B","5",7,3,2,1,1,5,1,"78%","72%","6%"
"Kreidler, Ryan","668952","Twins","","SS","1",1,2,0,-1,1,0,1,"80%","79%","1%"
"Kurtz, Nick","701762","Athletics","","1B","-2",-3,4,-8,1,0,-2,-1,"70%","71%","-1%"
"Kwan, Steven","680757","Guardians","","LF","5",6,1,3,2,1,4,2,"93%","90%","3%"
"Langford, Wyatt","694671","Rangers","","LF","2",2,0,2,0,0,0,2,"90%","88%","2%"
"Larnach, Trevor","663616","Twins","","LF","-4",-4,0,-1,-3,-1,-1,-3,"82%","85%","-3%"
"Lee, Brooks","686797","Twins","","SS","-5",-7,2,-7,-2,0,-8,1,"71%","73%","-2%"
"Lee, Hao-Yu","701678","Tigers","","2B","-5",-7,-4,-3,-1,1,-3,-3,"73%","77%","-4%"
"Lee, Jung Hoo","808982","Giants","","RF","-4",-4,-1,-2,1,-2,-1,-3,"83%","85%","-2%"
"Lewis, Royce","668904","Twins","","3B","-3",-4,-3,-1,-1,1,-4,-1,"71%","73%","-2%"
"Lile, Daylen","695734","Nationals","","LF","2",2,2,2,-2,1,1,1,"87%","86%","1%"
"Lindor, Francisco","596019","Mets","","SS","2",3,0,0,3,-1,0,2,"76%","75%","1%"
"Loftin, Nick","679845","Royals","","3B","-4",-5,-1,-4,0,0,-4,-2,"68%","70%","-2%"
"Lopez, Nicky","670032","---","","2B","-2",-3,2,2,-5,-1,0,-3,"70%","72%","-2%"
"Lopez, Otto","672640","Marlins","","SS","3",5,7,1,-4,1,-1,5,"75%","74%","1%"
"Lowe, Brandon","664040","Pirates","","2B","7",10,1,4,4,1,5,5,"79%","77%","2%"
"Lowe, Josh","666139","Angels","","LF","1",1,2,-1,1,0,0,1,"89%","88%","1%"
"Lukes, Nathan","664770","Blue Jays","","RF","1",1,-1,1,0,1,1,0,"89%","88%","1%"
"Machado, Manny","592518","Padres","","3B","3",4,2,1,1,0,4,1,"73%","71%","2%"
"Mangum, Jake","663968","Pirates","","CF","1",1,-1,1,-1,1,-1,1,"89%","88%","1%"
"Manzardo, Kyle","700932","Guardians","","1B","-4",-5,-1,-4,2,-2,-6,0,"74%","77%","-3%"
"Marsee, Jakob","805300","Marlins","","CF","5",5,-1,1,4,1,1,4,"91%","89%","2%"
"Marsh, Brandon","669016","Phillies","","LF","-1",-1,-1,1,1,-1,0,-1,"90%","91%","-1%"
"Marte, Ketel","606466","D-backs","","2B","2",3,2,-1,1,1,3,0,"75%","74%","1%"
"Martin, Austin","668885","Twins","","RF","1",1,1,0,-2,2,-1,3,"89%","88%","1%"
"Martínez, Angel","682657","Guardians","","LF","1",1,0,1,-2,1,1,0,"89%","88%","1%"
"Massey, Michael","686681","Royals","","2B","6",8,-1,8,1,0,3,6,"72%","69%","3%"
"Mateo, Jorge","622761","Braves","","SS","2",2,2,-1,1,0,1,2,"78%","76%","2%"
"Matthews, Brice","694728","Astros","","CF","4",5,-1,2,3,1,2,3,"89%","86%","3%"
"Mayer, Marcelo","691785","Red Sox","","2B","0",0,0,-2,2,-1,-1,1,"70%","71%","-1%"
"Mayo, Coby","691723","Orioles","","3B","-2",-3,-1,-3,0,0,-5,2,"65%","67%","-2%"
"McCarthy, Jake","664983","Rockies","","CF","1",1,-1,0,3,-1,2,0,"88%","87%","1%"
"McGonigle, Kevin","805808","Tigers","","3B","0",0,-1,1,-2,1,5,-6,"74%","74%","0%"
"McKinstry, Zach","656716","Tigers","","2B","5",7,3,1,3,0,5,2,"81%","78%","3%"
"McLain, Matt","680574","Reds","","2B","2",2,-1,0,4,0,3,-1,"76%","75%","1%"
"McMahon, Ryan","641857","Yankees","","3B","2",2,1,1,1,0,1,1,"70%","68%","2%"
"McNeil, Jeff","643446","Athletics","","2B","-1",-2,2,-3,1,-1,1,-2,"74%","75%","-1%"
"Mead, Curtis","678554","Nationals","","3B","-7",-9,-5,-5,0,0,-2,-7,"65%","69%","-4%"
"Meidroth, Chase","805367","White Sox","","2B","3",4,3,-1,2,1,3,1,"75%","73%","2%"
"Merrill, Jackson","701538","Padres","","CF","2",2,0,4,0,-2,-1,3,"92%","91%","1%"
"Mitchell, Garrett","669003","Brewers","","CF","3",3,0,0,2,1,0,3,"91%","89%","2%"
"Monasterio, Andruw","655316","Red Sox","","SS","-4",-6,0,-1,-4,-1,-2,-4,"73%","77%","-4%"
"Moniak, Mickey","666160","Rockies","","LF","-1",-2,-2,1,0,0,-1,-1,"88%","89%","-1%"
"Montgomery, Colson","695657","White Sox","","SS","4",5,2,2,0,0,3,2,"75%","74%","1%"
"Mullins, Cedric","656775","Rays","","CF","7",8,4,2,3,-1,3,4,"93%","90%","3%"
"Muncy, Max","571970","Dodgers","","3B","3",3,3,-2,2,1,1,2,"74%","73%","1%"
"Muncy, Max","691777","Athletics","","3B","-5",-7,-2,0,-4,0,-7,0,"57%","63%","-6%"
"Murakami, Munetaka","808959","White Sox","","1B","0",0,0,0,0,0,-1,1,"69%","69%","0%"
"Myers, Dane","667472","Reds","","CF","1",1,0,1,-1,1,2,-1,"89%","88%","1%"
"Naylor, Josh","647304","Mariners","","1B","0",-1,2,-2,1,-1,-3,2,"72%","72%","0%"
"Neto, Zach","687263","Angels","","SS","-7",-9,-2,-1,-3,-2,-6,-3,"74%","77%","-3%"
"Nimmo, Brandon","607043","Rangers","","RF","-2",-2,0,-2,1,-1,-2,1,"90%","91%","-1%"
"Norby, Connor","681393","Marlins","","1B","3",4,1,0,3,0,0,4,"76%","72%","4%"
"Nuñez, Nasim","683083","Nationals","","2B","2",3,3,-5,1,3,4,-1,"79%","79%","0%"
"O'Hearn, Ryan","656811","Pirates","","1B","-3",-4,-4,0,0,0,-2,-2,"76%","78%","-2%"
"Okamoto, Kazuma","672960","Blue Jays","","3B","0",0,3,1,-3,-1,-1,1,"71%","71%","0%"
"Olson, Matt","621566","Braves","","1B","3",4,-1,1,3,1,3,0,"78%","76%","2%"
"Ortiz, Joey","687401","Brewers","","SS","8",10,2,6,2,1,4,6,"76%","72%","4%"
"Osuna, Alejandro","696030","Rangers","","LF","-5",-6,-3,-1,-2,1,-4,-2,"83%","88%","-5%"
"Outman, James","681546","---","","CF","1",1,-1,0,1,1,0,1,"93%","92%","1%"
"Pages, Andy","681624","Dodgers","","CF","5",5,-3,1,7,0,3,2,"90%","88%","2%"
"Palacios, Richie","680700","Rays","","2B","-5",-6,-3,-3,0,-1,-1,-5,"75%","78%","-3%"
"Paredes, Isaac","670623","Astros","","3B","0",0,-2,1,0,1,-2,3,"70%","70%","0%"
"Pasquantino, Vinnie","686469","Royals","","1B","0",0,-3,3,0,0,2,-1,"77%","77%","0%"
"Peraza, Oswald","672724","Angels","","2B","0",0,1,0,0,-1,1,-1,"76%","76%","0%"
"Perdomo, Geraldo","672695","D-backs","","SS","7",9,11,2,-4,0,7,3,"81%","78%","3%"
"Peters, Tristan","671976","White Sox","","CF","8",9,1,2,4,1,5,4,"94%","90%","4%"
"Peña, Jeremy","665161","Astros","","SS","-2",-3,-2,1,-2,0,-1,-2,"71%","72%","-1%"
"Pérez, Wenceel","672761","Tigers","","RF","-3",-3,0,-2,-2,0,-2,-1,"89%","92%","-3%"
"Rafaela, Ceddanne","678882","Red Sox","","CF","11",13,2,6,5,-1,8,5,"94%","89%","5%"
"Raley, Luke","670042","Mariners","","RF","-5",-6,-1,-5,-1,0,-4,-2,"81%","85%","-4%"
"Ramos, Heliot","671218","Giants","","LF","-2",-2,1,-1,-2,0,1,-2,"87%","89%","-2%"
"Ramírez, José","608070","Guardians","","3B","3",4,1,0,3,0,5,-1,"74%","72%","2%"
"Rengifo, Luis","650859","---","","3B","-1",-2,-2,1,-1,1,-3,1,"77%","78%","-1%"
"Reynolds, Bryan","668804","Pirates","","LF","-3",-4,1,-4,-1,0,-1,-2,"86%","88%","-2%"
"Rice, Ben","700250","Yankees","","1B","-4",-5,-1,-2,-3,1,0,-4,"63%","67%","-4%"
"Riley, Austin","663586","Braves","","3B","-1",-1,-4,1,1,2,-2,1,"72%","72%","0%"
"Rivas, Leo","660844","Mariners","","3B","0",0,2,1,-1,-1,2,-2,"72%","72%","0%"
"Rocchio, Brayan","677587","Guardians","","SS","9",12,6,5,-1,2,9,3,"73%","70%","3%"
"Rodríguez, Julio","677594","Mariners","","CF","-1",-1,-1,1,0,0,0,0,"90%","91%","-1%"
"Rojas, Miguel","500743","Dodgers","","2B","2",3,-1,4,0,0,-2,4,"72%","70%","2%"
"Rumfield, TJ","681198","Rockies","","1B","4",5,1,3,0,1,2,3,"73%","71%","2%"
"Sanoja, Javier","691594","Marlins","","3B","1",2,4,0,-2,0,2,0,"78%","78%","0%"
"Schanuel, Nolan","694384","Angels","","1B","2",3,0,0,2,1,0,3,"73%","72%","1%"
"Schmitt, Casey","669477","Giants","","3B","1",2,0,3,0,0,2,0,"79%","78%","1%"
"Schneemann, Daniel","682177","Guardians","","3B","5",6,1,2,3,0,5,1,"81%","78%","3%"
"Scott II, Victor","687363","Cardinals","","CF","3",3,0,3,0,0,2,1,"90%","88%","2%"
"Seager, Corey","608369","Rangers","","SS","1",1,-1,2,1,-1,1,0,"76%","75%","1%"
"Seigler, Anthony","678011","Red Sox","","2B","-2",-3,-1,-3,1,0,-3,0,"78%","81%","-3%"
"Semien, Marcus","543760","Mets","","2B","-5",-6,0,-1,-3,-2,-3,-3,"77%","79%","-2%"
"Sheets, Gavin","657757","Padres","","1B","-3",-3,0,0,-2,-1,-2,-2,"74%","76%","-2%"
"Simpson, Chandler","802415","Rays","","LF","6",7,2,2,2,0,4,3,"89%","86%","3%"
"Smith, Cam","701358","Astros","","RF","5",6,3,0,1,2,3,2,"89%","86%","3%"
"Smith, Josh","669701","Rangers","","2B","-2",-3,0,-2,1,-1,-2,0,"72%","74%","-2%"
"Soderstrom, Tyler","691016","Athletics","","LF","-5",-6,1,-2,-2,-3,-6,0,"83%","85%","-2%"
"Song, Sung-Mun","823550","Padres","","2B","3",3,1,1,1,0,3,1,"72%","69%","3%"
"Sosa, Edmundo","624641","Phillies","","2B","1",2,0,1,2,-1,0,2,"75%","74%","1%"
"Soto, Juan","665742","Mets","","LF","-1",-1,0,-1,0,0,0,-2,"84%","85%","-1%"
"Steer, Spencer","668715","Reds","","1B","-2",-2,0,-1,-1,0,-2,0,"76%","77%","-1%"
"Stewart, Sal","701398","Reds","","1B","0",0,3,-4,1,0,1,-1,"71%","71%","0%"
"Story, Trevor","596115","Red Sox","","SS","-2",-3,-1,0,-1,-1,-2,-1,"75%","78%","-3%"
"Stott, Bryson","681082","Phillies","","2B","4",6,3,1,2,-1,1,5,"71%","70%","1%"
"Stowers, Kyle","669065","Marlins","","1B","0",0,1,0,0,0,1,-1,"84%","83%","1%"
"Straw, Myles","664702","Blue Jays","","CF","4",4,1,1,1,0,2,2,"92%","89%","3%"
"Suzuki, Seiya","673548","Cubs","","RF","3",3,4,0,-1,0,3,0,"89%","87%","2%"
"Swanson, Dansby","621020","Cubs","","SS","8",10,6,5,-1,0,5,5,"77%","74%","3%"
"Sánchez, Jesús","660821","Blue Jays","","RF","-6",-6,-1,-4,-2,0,-4,-2,"83%","89%","-6%"
"Tatis Jr., Fernando","665487","Padres","","2B","3",3,1,-1,3,1,3,0,"82%","80%","2%"
"Taveras, Leody","665750","Orioles","","CF","-3",-4,-1,0,-1,-1,-1,-3,"84%","85%","-1%"
"Thomas, Lane","657041","Royals","","CF","-6",-6,-3,0,-3,0,-4,-2,"88%","91%","-3%"
"Torkelson, Spencer","679529","Tigers","","1B","-9",-11,-2,-7,-3,0,-2,-9,"69%","73%","-4%"
"Torres, Gleyber","650402","Tigers","","2B","0",0,1,-1,0,0,-1,1,"79%","79%","0%"
"Tovar, Ezequiel","678662","Rockies","","SS","1",1,4,0,-1,-2,3,-1,"71%","71%","0%"
"Triolo, Jared","669707","Pirates","","SS","-1",-1,3,-2,-2,1,1,-1,"74%","74%","0%"
"Trout, Mike","545361","Angels","","CF","-3",-4,-3,0,0,-1,0,-4,"89%","91%","-2%"
"Tucker, Kyle","663656","Dodgers","","RF","-4",-5,-1,-3,-1,-1,-2,-3,"89%","91%","-2%"
"Turang, Brice","668930","Brewers","","2B","6",8,2,-1,6,1,4,4,"79%","77%","2%"
"Turner, Trea","607208","Phillies","","SS","-6",-9,-6,6,-7,-1,-2,-7,"68%","70%","-2%"
"Vargas, Ildemaro","545121","D-backs","","1B","1",2,1,-1,2,0,1,1,"74%","73%","1%"
"Vargas, Miguel","678246","White Sox","","3B","-2",-3,-4,-2,4,-1,-7,4,"70%","72%","-2%"
"Varsho, Daulton","662139","Blue Jays","","CF","4",5,-1,2,3,1,1,4,"90%","88%","2%"
"Vientos, Mark","668901","Mets","","1B","-6",-8,-4,-4,0,0,1,-9,"68%","74%","-6%"
"Vierling, Matt","663837","Tigers","","CF","2",2,0,0,3,-1,1,2,"92%","91%","1%"
"Vivas, Jorbit","678391","Nationals","","3B","1",2,2,1,-1,0,3,-2,"69%","68%","1%"
"Volpe, Anthony","683011","Yankees","","SS","4",5,1,2,2,0,5,0,"79%","76%","3%"
"Waldschmidt, Ryan","814439","D-backs","","CF","0",0,-4,2,1,1,-1,1,"89%","89%","0%"
"Walker, Christian","572233","Astros","","1B","1",2,2,1,1,-2,-1,3,"76%","75%","1%"
"Walker, Jordan","691023","Cardinals","","RF","-5",-6,0,-3,-3,0,-4,-2,"86%","89%","-3%"
"Walls, Taylor","670764","Rays","","SS","-1",-2,-3,0,0,1,1,-3,"81%","82%","-1%"
"Ward, Taylor","621493","Orioles","","LF","-1",-1,1,1,-1,-2,-1,0,"88%","88%","0%"
"Wetherholt, JJ","802139","Cardinals","","2B","13",17,5,10,1,2,8,10,"76%","72%","4%"
"Williamson, Ben","810938","Rays","","2B","-3",-4,-4,1,-3,1,-3,-1,"80%","82%","-2%"
"Wilson, Jacob","805779","Athletics","","SS","6",8,4,3,0,0,8,0,"73%","69%","4%"
"Winn, Masyn","691026","Cardinals","","SS","6",9,7,1,-1,2,3,5,"73%","70%","3%"
"Witt Jr., Bobby","677951","Royals","","SS","14",18,9,8,1,0,11,7,"77%","71%","6%"
"Wood, James","695578","Nationals","","RF","-5",-5,2,-5,-3,1,-3,-2,"84%","86%","-2%"
"Yastrzemski, Mike","573262","Braves","","LF","-1",-1,-2,1,2,-2,1,-2,"89%","90%","-1%"
"Young, Cole","702284","Mariners","","2B","-2",-3,-2,-2,1,-1,-1,-2,"77%","78%","-1%"
"Young, Jacob","696285","Nationals","","CF","10",11,-1,12,1,-1,9,1,"92%","88%","4%"
