"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff"
"Duran, Jarren","680776","2026","467","299",0.201,0.233,-0.032,0.355,0.384,-0.029000000000000026,0.267,0.297,-0.02999999999999997
"Bohm, Alec","664761","2026","466","362",0.227,0.25,-0.022999999999999993,0.359,0.38,-0.02100000000000002,0.285,0.306,-0.02100000000000002
"Rodríguez, Julio","677594","2026","466","329",0.258,0.277,-0.019000000000000017,0.424,0.47,-0.045999999999999985,0.326,0.351,-0.024999999999999967
"Guerrero Jr., Vladimir","665489","2026","466","352",0.261,0.282,-0.020999999999999963,0.359,0.401,-0.04200000000000004,0.309,0.336,-0.027000000000000024
"Rumfield, TJ","681198","2026","464","345",0.295,0.256,0.03899999999999998,0.459,0.38,0.07900000000000001,0.365,0.321,0.043999999999999984
"Torkelson, Spencer","679529","2026","464","267",0.227,0.225,0.0020000000000000018,0.422,0.419,0.0030000000000000027,0.324,0.321,0.0030000000000000027
"Dingler, Dillon","693307","2026","462","318",0.272,0.285,-0.012999999999999956,0.525,0.513,0.01200000000000001,0.37,0.373,-0.0030000000000000027
"Perez, Salvador","521692","2026","461","339",0.216,0.229,-0.013000000000000012,0.373,0.409,-0.035999999999999976,0.276,0.297,-0.020999999999999963
"Bell, Josh","605137","2026","460","323",0.251,0.246,0.0050000000000000044,0.42,0.434,-0.014000000000000012,0.321,0.323,-0.0020000000000000018
"Tucker, Kyle","663656","2026","457","313",0.244,0.262,-0.018000000000000016,0.388,0.396,-0.008000000000000007,0.324,0.336,-0.01200000000000001
"Dubón, Mauricio","643289","2026","456","363",0.268,0.272,-0.0040000000000000036,0.404,0.387,0.017000000000000015,0.316,0.312,0.0040000000000000036
"Lee, Brooks","686797","2026","453","344",0.24,0.221,0.01899999999999999,0.417,0.326,0.09099999999999997,0.312,0.269,0.04299999999999998
"Rocchio, Brayan","677587","2026","452","347",0.254,0.246,0.008000000000000007,0.373,0.351,0.02200000000000002,0.308,0.297,0.01100000000000001
"Marsee, Jakob","805300","2026","451","286",0.206,0.221,-0.015000000000000013,0.312,0.315,-0.0030000000000000027,0.295,0.302,-0.007000000000000006
"Burger, Jake","669394","2026","451","293",0.238,0.228,0.009999999999999981,0.417,0.393,0.023999999999999966,0.313,0.299,0.014000000000000012
